Elevator Base Guess
100824.48 100797.27 4
100823.73 100797.17 4
100824.27 100795.85 4
100824.84 100795.52 4
100823.79 100795.66 4
100824.13 100796.55 4
100824.55 100796.88 4
100825.13 100796.74 4
100825.05 100796.87 4
100824.66 100796.22 4
100825.16 100796.63 4
100822.32 100796.26 4
100824.54 100797.16 4
100824.05 100796.27 4
100821.88 100796.70 4
100823.15 100796.77 4
100823.74 100796.11 4
100825.13 100796.11 4
100825.19 100796.94 4
100826.95 100797.02 4
100828.49 100796.43 4
100830.85 100796.78 4
100831.97 100795.56 4
100833.00 100796.23 4
100835.30 100796.02 4
100836.09 100796.64 4
100838.82 100795.89 4
100840.54 100796.39 4
100841.67 100796.54 4
100841.66 100796.98 4
100842.64 100796.70 4
100842.47 100797.45 4
100843.81 100796.45 3
100842.83 100795.89 3
100841.80 100795.93 4
100844.13 100796.63 3
100846.02 100796.16 3
100846.77 100796.66 3
100848.19 100796.87 3
100850.80 100796.73 3
100854.38 100796.73 3
100856.30 100796.93 3
100858.83 100797.51 3
100859.52 100797.50 3
100862.79 100797.34 3
100865.67 100797.03 3
100867.22 100796.97 3
100876.54 100796.56 3
100869.98 100797.41 3
100865.79 100796.88 3
100866.02 100796.99 3
100864.51 100797.05 3
100864.06 100796.32 3
100863.83 100795.84 3
100862.26 100796.37 3
100863.04 100795.82 3
100863.41 100796.43 3
100862.83 100797.16 3
100863.72 100797.07 3
100862.14 100796.42 3
100864.70 100796.68 3
100863.53 100796.88 3
100863.56 100796.10 3
100862.66 100796.30 3
100862.20 100797.20 3
100863.27 100796.53 3
100863.79 100795.91 3
100862.42 100796.15 3
100862.48 100797.06 3
100862.05 100795.52 3
100863.16 100795.48 3
100863.09 100794.84 3
100863.72 100796.30 3
100862.97 100796.47 3
100864.00 100795.56 3
100864.21 100794.88 3
100863.95 100796.17 3
100863.23 100796.39 3
100862.55 100795.74 3
100862.56 100795.34 3
100863.30 100796.63 3
100863.41 100797.62 3
100863.38 100797.60 3
100860.02 100797.09 3
100862.18 100797.89 3
100865.27 100797.13 3
100866.05 100797.01 3
100865.16 100797.01 3
100864.61 100796.72 3
100864.18 100797.17 3
100864.40 100797.83 3
100863.68 100797.17 3
100862.20 100798.21 3
100862.98 100797.93 3
100863.39 100797.80 3
100863.70 100797.46 3
100865.51 100797.86 3
100867.90 100797.27 3
100869.83 100797.07 3
100872.35 100797.70 3
100873.45 100798.13 3
100875.77 100797.43 3
100876.87 100797.70 3
100878.02 100797.10 3
100877.77 100798.50 3
100877.37 100798.09 3
100878.13 100798.23 3
100876.06 100797.56 3
100878.22 100796.82 3
100878.94 100796.80 3
100879.30 100797.30 3
100879.66 100797.73 3
100882.70 100797.02 3
100886.38 100797.12 2
100888.42 100797.08 2
100892.61 100796.11 2
100897.34 100796.30 2
100898.28 100796.44 2
100899.32 100796.00 2
100900.87 100796.70 2
100902.02 100796.81 2
100903.90 100797.20 2
100904.50 100797.52 2
100903.55 100797.75 2
100904.02 100797.07 2
100903.27 100796.82 2
100902.84 100796.66 2
100903.42 100796.00 2
100903.55 100797.49 2
100904.47 100796.81 2
100904.05 100796.16 2
100905.77 100796.85 2
100904.16 100796.34 2
100905.25 100796.41 2
100903.07 100797.03 2
100903.67 100796.46 2
100903.70 100796.44 2
100901.94 100797.08 2
100903.28 100796.91 2
100904.99 100795.30 2
100905.32 100795.09 2
100904.07 100795.59 2
100903.88 100795.93 2
100905.33 100795.34 2
100904.65 100795.52 2
100905.75 100795.61 2
100905.48 100795.76 2
100904.47 100796.59 2
100906.33 100796.58 2
100905.16 100795.98 2
100905.12 100795.84 2
100909.27 100796.30 2
100909.88 100795.97 2
100915.01 100797.81 2
100916.01 100797.02 2
100916.01 100796.80 2
100914.27 100796.66 2
100914.39 100797.34 2
100915.75 100795.70 2
100915.58 100796.45 2
100915.73 100796.82 2
100922.28 100797.20 2
100938.13 100795.50 1
100944.74 100796.24 1
100944.68 100797.48 1
100947.27 100796.41 1
100946.26 100796.80 1
100946.52 100796.38 1
100946.75 100796.13 1
100950.42 100796.53 1
100957.14 100797.30 1
100950.73 100797.27 1
100946.13 100797.75 1
100945.38 100796.62 1
100947.35 100795.48 1
100947.34 100796.62 1
100945.84 100796.11 1
100946.90 100795.31 1
100946.62 100795.05 1
100947.80 100794.97 1
100946.05 100795.31 1
100944.73 100796.69 1
100944.30 100797.66 1
100943.76 100796.78 1
100944.26 100796.48 1
100943.86 100796.55 1
100946.75 100796.63 1
100946.33 100796.72 1
100945.09 100796.56 1
100944.89 100796.86 1
100944.44 100797.05 1
100944.66 100796.39 1
100945.09 100796.95 1
100946.07 100798.09 1
100945.84 100797.57 1
100946.09 100797.06 1
100946.17 100797.57 1
100945.70 100797.67 1
100945.29 100797.24 1
100945.17 100797.41 1
100945.16 100797.14 1
