316615	99578.61	99518.28	1	3	60.33
317256	99578.89	99517.94	0.99	3	60.95
317896	99579.45	99517.41	0.99	3	62.04
318537	99579.18	99518.08	0.99	3	61.1
319177	99579.73	99518.38	1	3	61.35
319818	99579.91	99517.71	1	3	62.2
320458	99579.55	99518.2	1.01	3	61.35
321099	99579.67	99518.53	1	3	61.14
321740	99579.31	99518.03	1	3	61.28
322380	99578.66	99516.76	1	3	61.9
323021	99579.07	99516.98	1.01	3	62.09
323662	99578	99517.52	1	3	60.48
324302	99578.77	99516.89	1	3	61.88
324943	99579.2	99516.11	1	3	63.09
325583	99579.91	99517.13	1	3	62.78
326224	99580.13	99517.63	1	3	62.5
326865	99580.13	99517.89	0.99	3	62.24
327505	99579.48	99518	1	3	61.48
328146	99579.77	99517.16	1	3	62.61
328787	99579.34	99518.36	1	3	60.98
329427	99579.94	99517.74	1	3	62.2
330068	99579.45	99517.22	0.99	3	62.23
330708	99579.27	99517.6	1	3	61.67
331349	99578.85	99517.81	0.99	3	61.04
331990	99578.83	99517.41	1	3	61.42
332630	99579.43	99516.29	1	3	63.14
333271	99578.73	99516.63	1	3	62.1
333911	99579.38	99517.34	1	3	62.04
334552	99579.09	99517.31	1.01	3	61.78
335193	99578.89	99516.24	0.98	3	62.65
335833	99579.13	99518.37	0.99	3	60.76
336474	99580.51	99519.54	0.99	3	60.97
337115	99580.38	99519.95	1	3	60.43
337755	99581.56	99520.02	1.01	3	61.54
338396	99580.75	99520.21	0.99	3	60.54
339036	99579.98	99519.23	1	3	60.75
339677	99579.66	99518.64	1	3	61.02
340318	99578.5	99517.92	0.99	3	60.58
340958	99577.81	99516.37	1	3	61.44
341599	99578.37	99516.69	1	3	61.68
342240	99578.19	99516.88	0.99	3	61.31
342880	99578.62	99515.71	1	3	62.91
343521	99577.77	99516.05	1.01	3	61.72
344161	99576.99	99516.13	1	3	60.86
344802	99577.53	99516.42	1	3	61.11
345443	99577.79	99517	0.99	3	60.79
346083	99576.87	99517.08	1	3	59.79
346724	99577.45	99517.07	1	3	60.38
347364	99578.12	99517.03	0.99	3	61.09
348005	99578.85	99515.92	0.99	3	62.93
348646	99577.68	99515.8	1.01	3	61.88
349286	99577.24	99515.62	1	3	61.62
349927	99577.93	99516.02	1	3	61.91
350568	99577.92	99516.42	1	3	61.5
351208	99577.63	99515.8	1	3	61.83
351849	99577.1	99516.94	0.99	3	60.16
352489	99577.45	99517.6	0.99	3	59.85
353130	99577.63	99517.84	1	3	59.79
353771	99576.86	99517.18	0.99	3	59.68
354411	99578.28	99517.24	1.01	3	61.04
355052	99577.8	99516.84	1	3	60.96
356333	99577.52	99518.01	0.99	3	59.51
356974	99577.7	99517.88	1	3	59.82
357614	99577.33	99518.41	1	3	58.92
358255	99576.31	99518.04	1	3	58.27
358896	99576.71	99517.49	0.99	3	59.22
359536	99577.91	99516.95	1	3	60.96
360177	99577.91	99517.13	1	3	60.78
360818	99577.21	99517.67	1.01	3	59.54
361458	99577.34	99517.17	1	3	60.17
362099	99578.37	99517.62	1.01	3	60.75
362739	99577.31	99517.55	0.99	3	59.76
363380	99576.95	99518.33	1	3	58.62
364021	99577.95	99519.06	1	3	58.89
364661	99577.81	99518.41	1	3	59.4
365302	99576.38	99518.38	0.99	3	58
365943	99577.52	99518	1	3	59.52
366583	99577.56	99518.61	1	3	58.95
367224	99578.32	99518.72	0.99	3	59.6
367865	99578.59	99517.6	1	3	60.99
368505	99578.08	99518.23	1	3	59.85
369146	99577.27	99518.02	1	3	59.25
369786	99577.31	99517.4	1	3	59.91
370427	99577.77	99517.88	0.99	3	59.89
371068	99578.49	99517.6	1	3	60.89
371708	99578.2	99517.21	1	3	60.99
372349	99578.52	99518.17	1	3	60.35
372990	99577.16	99518.16	1.01	3	59
373630	99576.07	99518.11	0.99	3	57.96
374271	99577.07	99518.55	1	3	58.52
374912	99577.28	99517.67	1	3	59.61
375552	99577.91	99517.27	0.99	3	60.64
376193	99577.93	99517.8	1	3	60.13
376833	99577.27	99516.97	1	3	60.3
377474	99577.19	99517.07	0.99	3	60.12
378115	99577.06	99517.13	1	3	59.93
378755	99576.82	99517.87	1	3	58.95
379396	99576.78	99518.13	1	3	58.65
380037	99577.21	99518.17	1	3	59.04
380677	99577.37	99517.28	1.01	3	60.09
381318	99577.4	99516.45	1	3	60.95
381959	99576.2	99517.48	1	3	58.72
