Elevator	Base	Guess	Column1
100831.93	100797.22	4	229
100837.76	100798.1	4	230
100829.78	100798.35	4	231
100826.58	100797.44	4	232
100827.35	100797.45	4	233
100825.92	100797.69	4	234
100824.64	100797.87	4	235
100824.21	100798.84	4	236
100824.5	100798.34	4	237
100825	100797.37	4	238
100823.95	100797.24	4	239
100825.65	100797.53	4	240
100824.1	100797.35	4	241
100823.02	100797.78	4	242
100823.41	100797.77	4	243
100822.55	100797.49	4	244
100823.74	100797.94	4	245
100824.45	100797.54	4	246
100824.95	100798.14	4	247
100824.06	100796.33	4	248
100823.63	100797.1	4	249
100822.99	100796.66	4	250
100824.27	100797.53	4	251
100825.36	100797.13	4	252
100824.02	100796.87	4	253
100823.92	100797.18	4	254
100823.77	100797.63	4	255
100823.12	100796.77	4	256
100823.11	100796.28	4	257
100823.27	100796.91	4	258
100822.58	100796.93	4	259
100821.96	100797.58	4	260
100822.52	100796.23	4	261
100822.26	100796.88	4	262
100821.35	100796.93	4	263
100822.59	100796.79	4	264
100825.05	100797.06	4	265
100824.48	100797.27	4	266
100823.73	100797.17	4	267
100824.27	100795.85	4	268
100824.84	100795.52	4	269
100823.79	100795.66	4	270
100824.13	100796.55	4	271
100824.55	100796.88	4	272
100825.13	100796.74	4	273
100825.05	100796.87	4	274
100824.66	100796.22	4	275
100825.16	100796.63	4	276
100822.32	100796.26	4	277
100824.54	100797.16	4	278
100824.05	100796.27	4	279
100821.88	100796.7	4	280
100823.15	100796.77	4	281
100823.74	100796.11	4	282
100825.13	100796.11	4	283
100825.19	100796.94	4	284
100826.95	100797.02	4	285
100828.49	100796.43	4	286
100830.85	100796.78	4	287
100831.97	100795.56	4	288
100833	100796.23	4	289
100835.3	100796.02	4	290
100836.09	100796.64	4	291
100838.82	100795.89	4	292
100840.54	100796.39	4	293
100841.67	100796.54	4	294
100841.66	100796.98	4	295
100842.64	100796.7	4	296
100842.47	100797.45	4	297
100843.81	100796.45	3	298
100842.83	100795.89	3	299
100841.8	100795.93	4	300
100844.13	100796.63	3	301
100846.02	100796.16	3	302
100846.77	100796.66	3	303
100848.19	100796.87	3	304
100850.8	100796.73	3	305
100854.38	100796.73	3	306
100856.3	100796.93	3	307
100858.83	100797.51	3	308
100859.52	100797.5	3	309
100862.79	100797.34	3	310
100865.67	100797.03	3	311
100867.22	100796.97	3	312
100876.54	100796.56	3	313
100869.98	100797.41	3	314
100865.79	100796.88	3	315
100866.02	100796.99	3	316
100864.51	100797.05	3	317
100864.06	100796.32	3	318
100863.83	100795.84	3	319
100862.26	100796.37	3	320
100863.04	100795.82	3	321
100863.41	100796.43	3	322
100862.83	100797.16	3	323
100863.72	100797.07	3	324
100862.14	100796.42	3	325
100864.7	100796.68	3	326
100863.53	100796.88	3	327
100863.56	100796.1	3	328
100862.66	100796.3	3	329
100862.2	100797.2	3	330
100863.27	100796.53	3	331
100863.79	100795.91	3	332
100862.42	100796.15	3	333
100862.48	100797.06	3	334
100862.05	100795.52	3	335
100863.16	100795.48	3	336
100863.09	100794.84	3	337
100863.72	100796.3	3	338
100862.97	100796.47	3	339
100864	100795.56	3	340
100864.21	100794.88	3	341
100863.95	100796.17	3	342
100863.23	100796.39	3	343
100862.55	100795.74	3	344
100862.56	100795.34	3	345
100863.3	100796.63	3	346
100863.41	100797.62	3	347
100863.38	100797.6	3	348
100860.02	100797.09	3	349
100862.18	100797.89	3	350
100865.27	100797.13	3	351
100866.05	100797.01	3	352
100865.16	100797.01	3	353
100864.61	100796.72	3	354
100864.18	100797.17	3	355
100864.4	100797.83	3	356
100863.68	100797.17	3	357
100862.2	100798.21	3	358
100862.98	100797.93	3	359
100863.39	100797.8	3	360
100863.7	100797.46	3	361
100865.51	100797.86	3	362
100867.9	100797.27	3	363
100869.83	100797.07	3	364
100872.35	100797.7	3	365
100873.45	100798.13	3	366
100875.77	100797.43	3	367
100876.87	100797.7	3	368
100878.02	100797.1	3	369
100877.77	100798.5	3	370
100877.37	100798.09	3	371
100878.13	100798.23	3	372
100876.06	100797.56	3	373
100878.22	100796.82	3	374
100878.94	100796.8	3	375
100879.3	100797.3	3	376
100879.66	100797.73	3	377
100882.7	100797.02	3	378
100886.38	100797.12	2	379
100888.42	100797.08	2	380
100892.61	100796.11	2	381
100897.34	100796.3	2	382
100898.28	100796.44	2	383
100899.32	100796	2	384
100900.87	100796.7	2	385
100902.02	100796.81	2	386
100903.9	100797.2	2	387
100904.5	100797.52	2	388
100903.55	100797.75	2	389
100904.02	100797.07	2	390
100903.27	100796.82	2	391
100902.84	100796.66	2	392
100903.42	100796	2	393
100903.55	100797.49	2	394
100904.47	100796.81	2	395
100904.05	100796.16	2	396
100905.77	100796.85	2	397
100904.16	100796.34	2	398
100905.25	100796.41	2	399
100903.07	100797.03	2	400
100903.67	100796.46	2	401
100903.7	100796.44	2	402
100901.94	100797.08	2	403
100903.28	100796.91	2	404
100904.99	100795.3	2	405
100905.32	100795.09	2	406
100904.07	100795.59	2	407
100903.88	100795.93	2	408
100905.33	100795.34	2	409
100904.65	100795.52	2	410
100905.75	100795.61	2	411
100905.48	100795.76	2	412
100904.47	100796.59	2	413
100906.33	100796.58	2	414
100905.16	100795.98	2	415
100905.12	100795.84	2	416
100909.27	100796.3	2	417
100909.88	100795.97	2	418
100915.01	100797.81	2	419
100916.01	100797.02	2	420
100916.01	100796.8	2	421
100914.27	100796.66	2	422
100914.39	100797.34	2	423
100915.75	100795.7	2	424
100915.58	100796.45	2	425
100915.73	100796.82	2	426
100922.28	100797.2	2	427
100938.13	100795.5	1	428
100944.74	100796.24	1	429
100944.68	100797.48	1	430
100947.27	100796.41	1	431
100946.26	100796.8	1	432
100946.52	100796.38	1	433
100946.75	100796.13	1	434
100950.42	100796.53	1	435
100957.14	100797.3	1	436
100950.73	100797.27	1	437
100946.13	100797.75	1	438
100945.38	100796.62	1	439
100947.35	100795.48	1	440
100947.34	100796.62	1	441
100945.84	100796.11	1	442
100946.9	100795.31	1	443
100946.62	100795.05	1	444
100947.8	100794.97	1	445
100946.05	100795.31	1	446
100944.73	100796.69	1	447
100944.3	100797.66	1	448
100943.76	100796.78	1	449
100944.26	100796.48	1	450
100943.86	100796.55	1	451
100946.75	100796.63	1	452
100946.33	100796.72	1	453
100945.09	100796.56	1	454
100944.89	100796.86	1	455
100944.44	100797.05	1	456
100944.66	100796.39	1	457
100945.09	100796.95	1	458
100946.07	100798.09	1	459
100945.84	100797.57	1	460
100946.09	100797.06	1	461
100946.17	100797.57	1	462
100945.7	100797.67	1	463
100945.29	100797.24	1	464
100945.17	100797.41	1	465
100945.16	100797.14	1	466
